pid,teamname,position,name,throwing_errors,catching_errors,assists,putouts,innings_played,errors,defensive_chances,fielding_percentage
52697,SF,starter,Neal Asiodu,0,0,0,0,16.00000000000001,0,0,
55577,SF,catcher,Jared Harris,0,0,0,0,44.00000000000003,0,0,
66117,SF,secondbase,Stephen Smith,0,1,0,0,44.00000000000003,1,1,0.0
45348,SF,rightfield,Tony Everett,0,1,0,0,44.00000000000003,0,0,
63233,SF,shortstop,Karlos Smith,0,0,0,0,44.00000000000003,0,0,
61452,SF,centerfield,A.J. Oswalt,0,1,0,0,44.00000000000003,1,1,0.0
53116,SF,firstbase,John Redmond,0,1,0,0,44.00000000000003,0,0,
45707,SF,thirdbase,Steve Delong,0,0,0,0,44.00000000000003,0,0,
53288,SF,leftfield,Logan Stephens,0,1,0,0,44.00000000000003,0,0,
43617,SD,starter,Darrion Smith,0,0,0,0,16.00000000000001,0,0,
58370,SD,catcher,John Benzschawel,1,0,0,0,44.00000000000003,1,1,0.0
47666,SD,shortstop,Bob Small,0,1,0,0,44.00000000000003,1,1,0.0
39758,SD,centerfield,Dave Eckert,0,1,0,0,44.00000000000003,1,1,0.0
37689,SD,leftfield,Benny Powell,0,1,0,0,44.00000000000003,1,1,0.0
51817,SD,secondbase,Delos Echols,0,0,0,0,44.00000000000003,0,0,
45013,SD,rightfield,Oil Can Vardell,0,0,0,0,44.00000000000003,0,0,
55204,SD,firstbase,Jerry Johnson,0,0,0,0,44.00000000000003,0,0,
66286,SD,thirdbase,Teyo Miraldi,0,0,0,0,44.00000000000003,0,0,
66199,SF,starter,Bill McCoo,0,0,0,0,12.000000000000004,0,0,
46524,SD,starter,Toddrick Byrdak,0,0,0,0,12.000000000000004,0,0,
52815,SD,starter,Darnell O'Neil,0,0,0,0,16.00000000000001,0,0,
41649,SF,starter,Ugueth Sutter,1,0,0,0,16.00000000000001,1,1,0.0
